1N-Z,N,Z,A,EL,O,Mass Excess,Mass Excess Error,Mass Excess Experimental,Binding Energy/A,Binding Energy/A Error,Binding Energy/A Experimental,Beta Type,Beta-Decay Energy,Beta-Decay Energy Error,Beta-Decay Energy Experimental,Atomic Mass,Atomic Mass Error,Atomic Mass Experimental
1,1,0,1,n,,8071.317129999999,0.00045999999999999996,True,0.0,0.0,True,B-,782.347,0.0,True,1008664.9158200001,0.00049,True
-1,0,1,1,H,,7288.970609999999,9e-05,True,0.0,0.0,True,B-,,,True,1007825.03224,9e-05,True
0,1,1,2,H,,13135.721759999999,0.00011,True,1112.2830000000001,0.0,True,B-,,,True,2014101.7781099998,0.00011999999999999999,True
1,2,1,3,H,,14949.809930000001,0.00022,True,2827.265,0.0,True,B-,18.592,0.0,True,3016049.28199,0.00022999999999999998,True
-1,1,2,3,He,,14931.21793,0.00021,True,2572.68,0.0,True,B-,-13736.0,2000.0,False,3016029.32265,0.00022,True
-3,0,3,3,Li,-pp,28667.0,2000.0,False,-2267.0,667.0,False,B-,,,True,3030775.0,2147.0,False
2,3,1,4,H,-n,24621.127,100.0,True,1720.4489999999998,25.0,True,B-,22196.211,100.0,True,4026431.8680000002,107.354,True
0,2,2,4,He,,2424.91561,5.9999999999999995e-05,True,7073.915,0.0,True,B-,-22898.272999999997,212.132,True,4002603.2541300002,5.9999999999999995e-05,True
-2,1,3,4,Li,-p,25323.189,212.132,True,1153.76,53.033,True,B-,,,True,4027185.562,227.733,True
3,4,1,5,H,-nn,32892.443999999996,89.443,True,1336.359,17.889,True,B-,21661.211,91.652,True,5035311.493,96.02,True
1,3,2,5,He,-n,11231.233,20.0,True,5512.132,4.0,True,B-,-447.654,53.852,True,5012057.223999999,21.47,True
-1,2,3,5,Li,-p,11678.886,50.0,True,5266.132,10.0,True,B-,-25460.0,2003.0,False,5012537.8,53.677,True
-3,1,4,5,Be,x,37139.0,2003.0,False,18.0,401.0,False,B-,,,True,5039870.0,2150.0,False
4,5,1,6,H,-3n,41875.721,254.127,True,961.6389999999999,42.354,True,B-,24283.626,254.127,True,6044955.437000001,272.816,True
2,4,2,6,He,,17592.095,0.053,True,4878.519,0.009000000000000001,True,B-,3505.216,0.053,True,6018885.891,0.057,True
0,3,3,6,Li,,14086.87895,0.00144,True,5332.331,0.0,True,B-,-4288.154,5.4479999999999995,True,6015122.88742,0.00155,True
-2,2,4,6,Be,-,18375.033,5.4479999999999995,True,4487.247,0.9079999999999999,True,B-,-28945.0,2003.0,False,6019726.409,5.848,True
-4,1,5,6,B,x,47320.0,2003.0,False,-467.0,334.0,False,B-,,,True,6050800.0,2150.0,False
5,6,1,7,H,-nn,49135.0,1004.0,False,940.0,143.0,False,B-,23062.0,1004.0,False,7052749.0,1078.0,False
3,5,2,7,He,-n,26073.126,7.559,True,4123.057,1.08,True,B-,11166.021,7.559,True,7027990.654,8.115,True
1,4,3,7,Li,,14907.105290000001,0.004229999999999999,True,5606.439,0.001,True,B-,-861.893,0.071,True,7016003.436660001,0.00454,True
-1,3,4,7,Be,,15768.999,0.071,True,5371.548000000001,0.01,True,B-,-11907.551000000001,25.15,True,7016928.717,0.076,True
-3,2,5,7,B,p4n,27676.55,25.15,True,3558.705,3.593,True,B-,,,True,7029712.0,27.0,True
4,6,2,8,He,,31609.681,0.08900000000000001,True,3924.52,0.011000000000000001,True,B-,10663.878,0.1,True,8033934.39,0.095,True
2,5,3,8,Li,,20945.804,0.047,True,5159.712,0.006,True,B-,16004.133,0.059000000000000004,True,8022486.246,0.05,True
0,4,4,8,Be,-a,4941.670999999999,0.035,True,7062.435,0.004,True,B-,-17979.896,1.0,True,8005305.102000001,0.037000000000000005,True
-2,3,5,8,B,,22921.567000000003,1.0,True,4717.155,0.125,True,B-,-12142.701000000001,18.27,True,8024607.316000001,1.073,True
-4,2,6,8,C,,35064.268,18.243,True,3101.5240000000003,2.28,True,B-,,,True,8037643.042,19.584,True
5,7,2,9,He,,40935.826,46.816,True,3349.0370000000003,5.202000000000001,True,B-,15980.923999999999,46.817,True,9043946.419,50.25899999999999,True
3,6,3,9,Li,-3n,24954.902000000002,0.18600000000000003,True,5037.768,0.021,True,B-,13606.448999999999,0.201,True,9026790.191,0.2,True
1,5,4,9,Be,,11348.453000000001,0.077,True,6462.668000000001,0.009000000000000001,True,B-,-1068.035,0.899,True,9012183.066,0.08199999999999999,True
-1,4,5,9,B,-,12416.488000000001,0.903,True,6257.07,0.1,True,B-,-16494.484,2.319,True,9013329.649,0.9690000000000001,True
-3,3,6,9,C,-pp,28910.972,2.137,True,4337.423,0.237,True,B-,,,True,9031037.207,2.293,True
6,8,2,10,He,-nn,49197.143,92.848,True,2995.134,9.285,True,B-,16144.518999999998,93.715,True,10052815.308,99.676,True
4,7,3,10,Li,-n,33052.623999999996,12.720999999999998,True,4531.351,1.272,True,B-,20445.136000000002,12.722000000000001,True,10035483.453,13.655999999999999,True
2,6,4,10,Be,,12607.488000000001,0.081,True,6497.63,0.008,True,B-,556.878,0.08199999999999999,True,10013534.695,0.086,True
