N,Z,A,elt,S(2n),S(2n) Error,S(2n) Experimental,S(2p),S(2p) Error,S(2p) Experimental,Q(a),Q(a) Error,Q(a) Experimental,Q(2B-),Q(2B-) Error,Q(2B-) Experimental,Q(ep),Q(ep) Error,Q(ep) Experimental,Q(B- n),Q(B- n) Error,Q(B- n) Experimental,S(n),S(n) Error,S(n) Experimental,S(p),S(p) Error,S(p) Experimental,Q(4B-),Q(4B-) Error,Q(4B-) Experimental,"Q(d,a)","Q(d,a) Error","Q(d,a) Experimental","Q(p,a)","Q(p,a) Error","Q(p,a) Experimental","Q(n,a)","Q(n,a) Error","Q(n,a) Experimental"
1,0,1,n,,,True,,,True,,,True,,,True,,,True,,,True,0.0,0.0,True,,,True,,,True,,,True,,,True,,,True
0,1,1,H,,,True,,,True,,,True,,,True,,,True,,,True,,,True,0.0,0.0,True,,,True,,,True,,,True,,,True
1,1,2,H,,,True,,,True,,,True,,,True,,,True,,,True,2224.57,0.0,True,2224.57,0.0,True,,,True,23846.53,0.0,True,,,True,,,True
2,1,3,H,8481.79,0.0,True,,,True,,,True,-13717.0,2000.0,False,,,True,,,True,6257.23,0.0,True,,,True,,,True,17589.3,0.0,True,19813.86,0.0,True,,,True
1,2,3,He,,,True,7718.04,0.0,True,,,True,,,True,,,True,,,True,,,True,5493.47,0.0,True,,,True,18353.05,0.0,True,,,True,20577.62,0.0,True
0,3,3,Li,,,True,-6800.0,2000.0,False,,,True,,,True,8242.0,2000.0,False,,,True,,,True,,,True,,,True,,,True,,,True,,,True
3,1,4,H,4657.23,100.0,True,,,True,,,True,-702.06,234.52,True,,,True,1618.59,100.0,True,-1600.0,100.0,True,,,True,,,True,,,True,21413.86,100.0,True,,,True
2,2,4,He,,,True,,,True,0.0,0.0,True,,,True,,,True,-34313.0,2000.0,False,20577.62,0.0,True,19813.86,0.0,True,,,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,True
1,3,4,Li,,,True,2390.47,212.13,True,,,True,,,True,3084.41,212.13,True,,,True,11415.0,2011.0,False,-3103.0,212.13,True,,,True,,,True,,,True,23680.62,212.13,True
4,1,5,H,-1800.0,89.44,True,,,True,,,True,21213.56,102.47,True,,,True,22396.21,89.44,True,-200.0,134.16,True,,,True,,,True,,,True,,,True,,,True
3,2,5,He,19842.62,20.0,True,,,True,735.0,20.0,True,-25907.0,2003.0,False,,,True,-22163.27,213.07,True,-735.0,20.0,True,20678.86,101.98,True,,,True,6992.23,20.0,True,2959.57,20.0,True,,,True
